Algorithm,M,Model,Test_Accuracy
Bilevel,200,RandomForest,0.3933
Bilevel,200,SVC_RBF,0.4281
Bilevel,200,Ridge,0.4742
Bilevel,200,GradientBoosting,0.4328
Bilevel,200,MLP,0.532
OnlineKCenter,200,RandomForest,0.0984
OnlineKCenter,200,SVC_RBF,0.0984
OnlineKCenter,200,Ridge,0.0984
OnlineKCenter,200,GradientBoosting,0.0984
OnlineKCenter,200,MLP,0.0987
StreamFP,200,RandomForest,0.3425
StreamFP,200,SVC_RBF,0.475
StreamFP,200,Ridge,0.5544
StreamFP,200,GradientBoosting,0.4646
StreamFP,200,MLP,0.6129
OCS,200,RandomForest,0.1658
OCS,200,SVC_RBF,0.1851
OCS,200,Ridge,0.1819
OCS,200,GradientBoosting,0.1814
OCS,200,MLP,0.1854
Reservoir,200,RandomForest,0.5974
Reservoir,200,SVC_RBF,0.6516
Reservoir,200,Ridge,0.6092
Reservoir,200,GradientBoosting,0.629
Reservoir,200,MLP,0.7193
SuperSampling,200,RandomForest,0.5847
SuperSampling,200,SVC_RBF,0.6691
SuperSampling,200,Ridge,0.6558
SuperSampling,200,GradientBoosting,0.6289
SuperSampling,200,MLP,0.7452
