step,phase_id,buffer_size,tracking_error_l2,exact_mmd2,buffer_count_class_0,buffer_count_class_1,class_0_present,class_1_present
2220,2,3,0.22744630547217115,0.054740724954271514,2,1,1,1
2240,2,3,0.22654683983776125,0.0542385811671936,2,1,1,1
2260,2,3,0.22829412921117243,0.05496936505237626,2,1,1,1
2280,2,3,0.22797488572453276,0.05474447222794343,2,1,1,1
2300,2,3,0.22758793360684798,0.054649641353607836,2,1,1,1
2320,2,3,0.22798214983600235,0.05481869979676346,2,1,1,1
2340,2,3,0.2321703186999136,0.05655614460502112,2,1,1,1
2360,2,3,0.22741835840608515,0.0546741975017041,2,1,1,1
2380,2,3,0.22719253341903298,0.054885513926791196,2,1,1,1
2400,2,3,0.22781814256855604,0.05498862195577836,2,1,1,1
2420,2,3,0.22707171235567508,0.054679082402156576,2,1,1,1
2440,2,3,0.2309388350717571,0.056175906805573494,2,1,1,1
2460,2,3,0.22887244983955085,0.05560911859656026,2,1,1,1
2480,2,3,0.22829485287479678,0.055260675060612496,2,1,1,1
2500,2,3,0.22943112130388213,0.05584035115228403,2,1,1,1
2520,2,3,0.23198573631984093,0.05673644631293173,2,1,1,1
2540,2,3,0.22994262018895198,0.056037947254591214,2,1,1,1
2560,2,3,0.22782625968707576,0.0553606242386353,2,1,1,1
2580,2,3,0.22860826120450606,0.055526559857070446,2,1,1,1
2600,2,3,0.22848847818316875,0.055470374086591945,2,1,1,1
2620,2,3,0.22993239620500439,0.056108157955001015,2,1,1,1
2640,2,3,0.23040335676980728,0.056320728893773375,2,1,1,1
2660,2,3,0.22939938504907392,0.05597292020601974,2,1,1,1
2680,2,3,0.2286489942945518,0.05573704129176149,2,1,1,1
2700,2,3,0.22980702047195964,0.056106189567202924,2,1,1,1
2720,2,3,0.23144584059866075,0.05693406299801507,2,1,1,1
2740,2,3,0.2312077891730103,0.05665524862888616,2,1,1,1
2760,2,3,0.23031787821183403,0.05651043972373271,2,1,1,1
2780,2,3,0.23639088595400334,0.05905033848946062,2,1,1,1
2800,2,3,0.2296360215980884,0.05631049472147853,2,1,1,1
2820,2,3,0.2325912983770486,0.05749498424005728,2,1,1,1
2840,2,3,0.23667204311000936,0.05923418015013582,2,1,1,1
2860,2,3,0.23238666342420455,0.05751521430686479,2,1,1,1
2880,2,3,0.23061659132384021,0.057013352722171895,2,1,1,1
2900,2,3,0.2316287800235933,0.057083827693205635,2,1,1,1
2920,2,3,0.2322813476488899,0.057435239881894695,2,1,1,1
2940,2,3,0.23197205801527834,0.05741850914289237,2,1,1,1
2960,2,3,0.23432186581891143,0.05829372217580986,2,1,1,1
2980,2,3,0.25064378314957075,0.06813411054025398,1,2,1,1
3000,2,3,0.24918549135658274,0.06745541345230188,1,2,1,1
3020,3,3,0.2480826556055302,0.0670204315927706,1,2,1,1
3040,3,3,0.24827879779604944,0.06358576127089077,1,2,1,1
3060,3,3,0.2426039184585812,0.06179109936581273,2,1,1,1
3080,3,3,0.24173918936829877,0.06128408336174418,2,1,1,1
3100,3,3,0.24125451551918636,0.06108253462128077,2,1,1,1
3120,3,3,0.24104588770587046,0.0610855724151389,2,1,1,1
3140,3,3,0.2407190968747413,0.06073619470690039,2,1,1,1
3160,3,3,0.23307288148044408,0.05987592863026847,2,1,1,1
3180,3,3,0.23261267515106474,0.059058556347640345,2,1,1,1
3200,3,3,0.23259251290943375,0.05905574638964173,2,1,1,1
3220,3,3,0.23165444799487575,0.05887257118978406,2,1,1,1
3240,3,3,0.23182303693807735,0.058962412334230385,2,1,1,1
3260,3,3,0.23187310715784681,0.0589799049645231,2,1,1,1
3280,3,3,0.2319629096759978,0.05912814220774831,2,1,1,1
3300,3,3,0.23212875521780818,0.05854918120706354,2,1,1,1
3320,3,3,0.23203780173530622,0.0588586878306081,2,1,1,1
3340,3,3,0.23376189154408505,0.06012914391302704,2,1,1,1
3360,3,3,0.2314039919214997,0.05841608866887049,2,1,1,1
3380,3,3,0.23135718896401822,0.05846260620083121,2,1,1,1
3400,3,3,0.23164091435963532,0.05833849600661556,2,1,1,1
3420,3,3,0.23107017941289432,0.05810455240476342,2,1,1,1
