step,task_id,method,class_id,prefix_mass,buffer_count,aggregate_weight,abs_mass_gap,covered
4000,2,reservoir,2,0.25,30,0.30000000000000004,0.050000000000000044,1
4000,2,reservoir,3,0.25,16,0.16,0.09,1
4000,2,reservoir,4,0.0,0,0.0,0.0,0
4000,2,reservoir,5,0.0,0,0.0,0.0,0
4000,2,reservoir,6,0.0,0,0.0,0.0,0
4000,2,reservoir,7,0.0,0,0.0,0.0,0
4000,2,reservoir,8,0.0,0,0.0,0.0,0
4000,2,reservoir,9,0.0,0,0.0,0.0,0
4000,2,sliding_window,0,0.25,0,0.0,0.25,0
4000,2,sliding_window,1,0.25,0,0.0,0.25,0
4000,2,sliding_window,2,0.25,0,0.0,0.25,0
4000,2,sliding_window,3,0.25,100,0.9999999999999999,0.7499999999999999,1
4000,2,sliding_window,4,0.0,0,0.0,0.0,0
4000,2,sliding_window,5,0.0,0,0.0,0.0,0
4000,2,sliding_window,6,0.0,0,0.0,0.0,0
4000,2,sliding_window,7,0.0,0,0.0,0.0,0
4000,2,sliding_window,8,0.0,0,0.0,0.0,0
4000,2,sliding_window,9,0.0,0,0.0,0.0,0
5000,3,streamcore,0,0.2,22,0.2305274709921512,0.030527470992151196,1
5000,3,streamcore,1,0.2,19,0.20159416740464967,0.0015941674046496546,1
5000,3,streamcore,2,0.2,23,0.22461779496643378,0.024617794966433765,1
5000,3,streamcore,3,0.2,16,0.16345421604357946,0.03654578395642055,1
5000,3,streamcore,4,0.2,20,0.1798063505931857,0.020193649406814312,1
5000,3,streamcore,5,0.0,0,0.0,0.0,0
5000,3,streamcore,6,0.0,0,0.0,0.0,0
5000,3,streamcore,7,0.0,0,0.0,0.0,0
5000,3,streamcore,8,0.0,0,0.0,0.0,0
5000,3,streamcore,9,0.0,0,0.0,0.0,0
5000,3,reservoir,0,0.2,23,0.23000000000000007,0.030000000000000054,1
5000,3,reservoir,1,0.2,23,0.23000000000000007,0.030000000000000054,1
5000,3,reservoir,2,0.2,24,0.24,0.03999999999999998,1
5000,3,reservoir,3,0.2,13,0.12999999999999998,0.07000000000000003,1
5000,3,reservoir,4,0.2,17,0.17,0.03,1
5000,3,reservoir,5,0.0,0,0.0,0.0,0
5000,3,reservoir,6,0.0,0,0.0,0.0,0
5000,3,reservoir,7,0.0,0,0.0,0.0,0
5000,3,reservoir,8,0.0,0,0.0,0.0,0
5000,3,reservoir,9,0.0,0,0.0,0.0,0
5000,3,sliding_window,0,0.2,0,0.0,0.2,0
5000,3,sliding_window,1,0.2,0,0.0,0.2,0
5000,3,sliding_window,2,0.2,0,0.0,0.2,0
5000,3,sliding_window,3,0.2,0,0.0,0.2,0
5000,3,sliding_window,4,0.2,100,0.9999999999999999,0.7999999999999998,1
5000,3,sliding_window,5,0.0,0,0.0,0.0,0
5000,3,sliding_window,6,0.0,0,0.0,0.0,0
5000,3,sliding_window,7,0.0,0,0.0,0.0,0
5000,3,sliding_window,8,0.0,0,0.0,0.0,0
5000,3,sliding_window,9,0.0,0,0.0,0.0,0
6000,3,streamcore,0,0.16666666666666666,20,0.19393040595160746,0.027263739284940802,1
6000,3,streamcore,1,0.16666666666666666,16,0.17615846631365129,0.009491799646984628,1
6000,3,streamcore,2,0.16666666666666666,21,0.21094273781129957,0.04427607114463292,1
6000,3,streamcore,3,0.16666666666666666,16,0.16541718321616455,0.0012494834505021035,1
6000,3,streamcore,4,0.16666666666666666,14,0.13543929842083396,0.031227368245832693,1
6000,3,streamcore,5,0.16666666666666666,13,0.11811190828644329,0.04855475838022337,1
6000,3,streamcore,6,0.0,0,0.0,0.0,0
6000,3,streamcore,7,0.0,0,0.0,0.0,0
6000,3,streamcore,8,0.0,0,0.0,0.0,0
6000,3,streamcore,9,0.0,0,0.0,0.0,0
6000,3,reservoir,0,0.16666666666666666,20,0.20000000000000004,0.03333333333333338,1
6000,3,reservoir,1,0.16666666666666666,21,0.21000000000000005,0.04333333333333339,1
6000,3,reservoir,2,0.16666666666666666,22,0.22000000000000006,0.0533333333333334,1
6000,3,reservoir,3,0.16666666666666666,12,0.11999999999999998,0.046666666666666676,1
6000,3,reservoir,4,0.16666666666666666,15,0.15,0.016666666666666663,1
6000,3,reservoir,5,0.16666666666666666,10,0.09999999999999999,0.06666666666666667,1
6000,3,reservoir,6,0.0,0,0.0,0.0,0
6000,3,reservoir,7,0.0,0,0.0,0.0,0
6000,3,reservoir,8,0.0,0,0.0,0.0,0
6000,3,reservoir,9,0.0,0,0.0,0.0,0
6000,3,sliding_window,0,0.16666666666666666,0,0.0,0.16666666666666666,0
6000,3,sliding_window,1,0.16666666666666666,0,0.0,0.16666666666666666,0
6000,3,sliding_window,2,0.16666666666666666,0,0.0,0.16666666666666666,0
6000,3,sliding_window,3,0.16666666666666666,0,0.0,0.16666666666666666,0
6000,3,sliding_window,4,0.16666666666666666,0,0.0,0.16666666666666666,0
6000,3,sliding_window,5,0.16666666666666666,100,0.9999999999999999,0.8333333333333333,1
6000,3,sliding_window,6,0.0,0,0.0,0.0,0
6000,3,sliding_window,7,0.0,0,0.0,0.0,0
6000,3,sliding_window,8,0.0,0,0.0,0.0,0
6000,3,sliding_window,9,0.0,0,0.0,0.0,0
7000,4,streamcore,0,0.14285714285714285,15,0.16524249655349163,0.02238535369634878,1
7000,4,streamcore,1,0.14285714285714285,14,0.15187945896403385,0.009022316106890998,1
7000,4,streamcore,2,0.14285714285714285,19,0.19497074562257322,0.05211360276543037,1
7000,4,streamcore,3,0.14285714285714285,13,0.1399318533501275,0.002925289507015344,1
7000,4,streamcore,4,0.14285714285714285,12,0.11753715730529678,0.025319985551846072,1
7000,4,streamcore,5,0.14285714285714285,11,0.09646260411533417,0.04639453874180868,1
7000,4,streamcore,6,0.14285714285714285,16,0.133975684089143,0.008881458767999839,1
7000,4,streamcore,7,0.0,0,0.0,0.0,0
7000,4,streamcore,8,0.0,0,0.0,0.0,0
7000,4,streamcore,9,0.0,0,0.0,0.0,0
7000,4,reservoir,0,0.14285714285714285,19,0.19000000000000003,0.04714285714285718,1
7000,4,reservoir,1,0.14285714285714285,19,0.19000000000000003,0.04714285714285718,1
7000,4,reservoir,2,0.14285714285714285,18,0.18000000000000002,0.03714285714285717,1
7000,4,reservoir,3,0.14285714285714285,12,0.11999999999999998,0.022857142857142868,1
7000,4,reservoir,4,0.14285714285714285,12,0.11999999999999998,0.022857142857142868,1
7000,4,reservoir,5,0.14285714285714285,9,0.09,0.05285714285714285,1
7000,4,reservoir,6,0.14285714285714285,11,0.10999999999999999,0.03285714285714286,1
7000,4,reservoir,7,0.0,0,0.0,0.0,0
7000,4,reservoir,8,0.0,0,0.0,0.0,0
7000,4,reservoir,9,0.0,0,0.0,0.0,0
7000,4,sliding_window,0,0.14285714285714285,0,0.0,0.14285714285714285,0
7000,4,sliding_window,1,0.14285714285714285,0,0.0,0.14285714285714285,0
7000,4,sliding_window,2,0.14285714285714285,0,0.0,0.14285714285714285,0
7000,4,sliding_window,3,0.14285714285714285,0,0.0,0.14285714285714285,0
7000,4,sliding_window,4,0.14285714285714285,0,0.0,0.14285714285714285,0
7000,4,sliding_window,5,0.14285714285714285,0,0.0,0.14285714285714285,0
7000,4,sliding_window,6,0.14285714285714285,100,0.9999999999999999,0.857142857142857,1
7000,4,sliding_window,7,0.0,0,0.0,0.0,0
7000,4,sliding_window,8,0.0,0,0.0,0.0,0
7000,4,sliding_window,9,0.0,0,0.0,0.0,0
8000,4,streamcore,0,0.125,14,0.1462287458421991,0.02122874584219911,1
8000,4,streamcore,1,0.125,13,0.1375521057272943,0.012552105727294288,1
8000,4,streamcore,2,0.125,17,0.17831095538140676,0.05331095538140676,1
8000,4,streamcore,3,0.125,13,0.13144883730498888,0.00644883730498888,1
8000,4,streamcore,4,0.125,10,0.1082886917074972,0.016711308292502794,1
8000,4,streamcore,5,0.125,10,0.09268464739302483,0.03231535260697517,1
8000,4,streamcore,6,0.125,14,0.1251912762990223,0.00019127629902229715,1
8000,4,streamcore,7,0.125,9,0.08029474034456664,0.04470525965543336,1
